TRADING_CODE,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
TB15Y0428,2026-08-11,0,0,0,0,0
TB15Y0429,2026-08-11,0,0,0,0,0
TB15Y0431,2026-08-11,0,0,0,0,0
TB15Y0437,2026-08-11,0,0,0,0,0
TB15Y0527,2026-08-11,0,0,0,0,0
TB15Y0528,2026-08-11,0,0,0,0,0
TB15Y0529,2026-08-11,0,0,0,0,0
TB15Y0535,2026-08-11,0,0,0,0,0
TB15Y0627,2026-08-11,0,0,0,0,0
TB15Y0628,2026-08-11,0,0,0,0,0
TB15Y0629,2026-08-11,0,0,0,0,0
TB15Y0635,2026-08-11,0,0,0,0,0
TB15Y0637,2026-08-11,0,0,0,0,0
TB15Y0727,2026-08-11,0,0,0,0,0
TB15Y0728,2026-08-11,0,0,0,0,0
TB15Y0729,2026-08-11,0,0,0,0,0
TB15Y0730,2026-08-11,0,0,0,0,0
TB15Y0736,2026-08-11,0,0,0,0,0
TB15Y0826,2026-08-11,0,0,0,0,0
TB15Y0828,2026-08-11,0,0,0,0,0
TB15Y0829,2026-08-11,0,0,0,0,0
TB15Y0840,2026-08-11,0,0,0,0,0
TB15Y0926,2026-08-11,0,0,0,0,0
TB15Y0927,2026-08-11,0,0,0,0,0
TB15Y0928,2026-08-11,0,0,0,0,0
TB15Y0929,2026-08-11,0,0,0,0,0
TB15Y0930,2026-08-11,0,0,0,0,0
TB15Y0933,2026-08-11,0,0,0,0,0
TB15Y1026,2026-08-11,0,0,0,0,0
TB15Y1027,2026-08-11,0,0,0,0,0
TB15Y1028,2026-08-11,0,0,0,0,0
TB15Y1029,2026-08-11,0,0,0,0,0
TB15Y1126,2026-08-11,0,0,0,0,0
TB15Y1127,2026-08-11,0,0,0,0,0
TB15Y1128,2026-08-11,0,0,0,0,0
TB15Y1129,2026-08-11,0,0,0,0,0
TB15Y1133,2026-08-11,0,0,0,0,0
TB15Y1226,2026-08-11,0,0,0,0,0
TB15Y1227,2026-08-11,0,0,0,0,0
TB15Y1228,2026-08-11,0,0,0,0,0
